iter	Passed	Remaining
0	38	38652
1	64	32336
2	92	30612
3	129	32321
4	161	32198
5	192	31921
6	225	31935
7	282	35051
8	324	35760
9	368	36445
10	400	35991
11	424	34937
12	462	35107
13	499	35154
14	526	34604
15	565	34803
16	592	34268
17	623	34023
18	670	34598
19	704	34530
20	730	34048
21	756	33629
22	790	33578
23	825	33582
24	860	33547
25	884	33146
26	926	33400
27	964	33486
28	991	33193
29	1017	32910
30	1052	32914
31	1086	32877
32	1139	33404
33	1159	32945
34	1180	32537
35	1207	32343
36	1235	32163
37	1280	32420
38	1314	32384
39	1335	32059
40	1366	31957
41	1386	31620
42	1418	31570
43	1454	31594
44	1472	31239
45	1493	30976
46	1513	30681
47	1537	30492
48	1566	30402
49	1595	30320
50	1618	30119
51	1644	29980
52	1667	29792
53	1686	29546
54	1699	29208
55	1713	28886
56	1726	28565
57	1742	28308
58	1761	28097
59	1782	27927
60	1800	27711
61	1825	27619
62	1846	27458
63	1860	27207
64	1875	26981
65	1890	26750
66	1913	26649
67	1926	26406
68	1940	26176
69	1960	26044
70	1974	25832
71	1988	25627
72	2005	25468
73	2034	25457
74	2047	25256
75	2075	25231
76	2098	25149
77	2115	25011
78	2134	24881
79	2150	24725
80	2168	24606
81	2196	24593
82	2216	24486
83	2231	24333
84	2251	24232
85	2267	24099
86	2284	23974
87	2302	23857
88	2315	23705
89	2329	23549
90	2344	23416
91	2362	23316
92	2376	23175
93	2393	23066
94	2405	22919
95	2418	22775
96	2444	22755
97	2459	22633
98	2473	22507
99	2493	22439
100	2507	22317
101	2521	22200
102	2537	22095
103	2559	22053
104	2576	21965
105	2591	21853
106	2602	21723
107	2618	21626
108	2632	21515
109	2644	21392
110	2664	21341
111	2685	21295
112	2698	21181
113	2717	21122
114	2731	21023
115	2751	20965
116	2765	20871
117	2779	20773
118	2793	20677
119	2808	20592
120	2825	20522
121	2839	20437
122	2855	20358
123	2874	20303
124	2887	20215
125	2903	20139
126	2914	20036
127	2929	19956
128	2945	19891
129	2961	19822
130	2974	19728
131	2987	19644
132	3003	19577
133	3026	19559
134	3041	19490
135	3055	19409
136	3079	19396
137	3091	19309
138	3104	19229
139	3121	19175
140	3133	19089
141	3157	19079
142	3184	19084
143	3202	19037
144	3218	18980
145	3250	19015
146	3273	18993
147	3297	18981
148	3310	18904
149	3327	18857
150	3346	18816
151	3364	18772
152	3378	18703
153	3391	18632
154	3408	18583
155	3423	18522
156	3437	18459
157	3451	18396
158	3472	18369
159	3489	18318
160	3504	18264
161	3520	18212
162	3536	18158
163	3550	18099
164	3564	18039
165	3576	17970
166	3589	17906
167	3609	17877
168	3623	17814
169	3638	17764
170	3660	17748
171	3680	17717
172	3692	17652
173	3705	17591
174	3720	17538
175	3742	17521
176	3755	17464
177	3768	17402
178	3782	17350
179	3805	17334
180	3823	17300
181	3838	17250
182	3853	17203
183	3865	17141
184	3879	17091
185	3890	17027
186	3905	16978
187	3918	16925
188	3932	16872
189	3953	16856
190	3975	16840
191	3989	16791
192	4007	16755
193	4021	16706
194	4035	16657
195	4050	16614
196	4070	16592
197	4081	16532
198	4094	16481
199	4110	16440
200	4129	16415
201	4142	16365
202	4157	16321
203	4169	16270
204	4184	16227
205	4205	16209
206	4216	16154
207	4230	16107
208	4246	16072
209	4261	16030
210	4283	16018
211	4302	15990
212	4322	15971
213	4345	15959
214	4361	15924
215	4378	15893
216	4404	15893
217	4418	15850
218	4444	15851
219	4459	15811
220	4472	15763
221	4485	15718
222	4500	15681
223	4512	15632
224	4537	15630
225	4562	15623
226	4579	15595
227	4606	15596
228	4619	15553
229	4631	15504
230	4646	15469
231	4663	15438
232	4681	15412
233	4695	15370
234	4709	15332
235	4730	15313
236	4744	15275
237	4763	15251
238	4777	15212
239	4791	15173
240	4803	15129
241	4818	15091
242	4832	15054
243	4847	15020
244	4865	14993
245	4877	14951
246	4894	14922
247	4909	14885
248	4936	14889
249	4951	14853
250	4969	14829
251	4982	14790
252	5002	14771
253	5016	14733
254	5032	14701
255	5043	14657
256	5056	14619
257	5075	14597
258	5090	14562
259	5104	14528
260	5124	14509
261	5137	14470
262	5152	14437
263	5165	14401
264	5186	14386
265	5200	14350
266	5216	14321
267	5240	14314
268	5263	14302
269	5276	14267
270	5293	14240
271	5308	14208
272	5323	14177
273	5342	14155
274	5355	14118
275	5372	14094
276	5391	14073
277	5409	14048
278	5421	14010
279	5431	13967
280	5450	13946
281	5468	13922
282	5483	13893
283	5501	13871
284	5520	13849
285	5543	13839
286	5563	13821
287	5586	13811
288	5601	13780
289	5615	13748
290	5629	13715
291	5642	13682
292	5656	13648
293	5669	13615
294	5689	13595
295	5704	13567
296	5727	13557
297	5745	13535
298	5771	13530
299	5797	13527
300	5832	13543
301	5873	13575
302	5899	13570
303	5920	13554
304	5942	13540
305	5959	13515
306	5974	13487
307	5995	13469
308	6012	13444
309	6034	13430
310	6056	13417
311	6083	13414
312	6100	13390
313	6130	13392
314	6157	13390
315	6193	13406
316	6214	13389
317	6247	13398
318	6261	13366
319	6281	13349
320	6301	13328
321	6323	13315
322	6347	13303
323	6364	13278
324	6382	13256
325	6399	13230
326	6416	13205
327	6431	13175
328	6454	13165
329	6486	13169
330	6512	13163
331	6547	13173
332	6572	13164
333	6597	13155
334	6619	13140
335	6651	13144
336	6677	13136
337	6697	13117
338	6718	13099
339	6737	13079
340	6751	13047
341	6769	13023
342	6782	12992
343	6800	12967
344	6815	12939
345	6834	12919
346	6857	12903
347	6870	12872
348	6886	12845
349	6909	12832
350	6944	12840
351	6979	12849
352	6997	12825
353	7031	12832
354	7064	12835
355	7082	12812
356	7115	12815
357	7142	12807
358	7156	12778
359	7175	12756
360	7193	12732
361	7207	12703
362	7227	12683
363	7248	12665
364	7265	12640
365	7280	12612
366	7306	12601
367	7322	12574
368	7337	12547
369	7360	12533
370	7377	12507
371	7395	12484
372	7411	12457
373	7431	12438
374	7460	12433
375	7481	12416
376	7507	12405
377	7525	12383
378	7542	12358
379	7560	12335
380	7591	12334
381	7617	12323
382	7640	12309
383	7660	12288
384	7676	12262
385	7691	12234
386	7718	12225
387	7731	12195
388	7756	12183
389	7771	12155
390	7789	12132
391	7807	12110
392	7821	12081
393	7849	12072
394	7866	12048
395	7882	12022
396	7899	11997
397	7930	11996
398	7947	11971
399	7969	11954
400	7994	11942
401	8010	11915
402	8032	11899
403	8057	11886
404	8094	11891
405	8120	11880
406	8141	11862
407	8168	11852
408	8188	11832
409	8206	11809
410	8229	11793
411	8255	11781
412	8279	11767
413	8292	11737
414	8305	11707
415	8315	11673
416	8328	11644
417	8342	11615
418	8355	11585
419	8387	11582
420	8404	11558
421	8423	11536
422	8437	11509
423	8451	11481
424	8468	11457
425	8481	11428
426	8493	11398
427	8508	11370
428	8523	11344
429	8553	11338
430	8567	11310
431	8581	11283
432	8595	11254
433	8612	11232
434	8630	11209
435	8642	11180
436	8654	11149
437	8670	11124
438	8699	11116
439	8725	11105
440	8742	11082
441	8762	11061
442	8778	11037
443	8796	11015
444	8815	10994
445	8840	10981
446	8857	10958
447	8871	10930
448	8885	10903
449	8899	10877
450	8918	10856
451	8934	10832
452	8952	10810
453	8965	10782
454	8978	10754
455	8994	10730
456	9015	10711
457	9034	10691
458	9048	10664
459	9060	10636
460	9079	10615
461	9092	10587
462	9105	10560
463	9118	10533
464	9132	10506
465	9149	10484
466	9168	10464
467	9187	10443
468	9209	10427
469	9224	10402
470	9239	10377
471	9260	10359
472	9292	10353
473	9316	10338
474	9338	10321
475	9352	10295
476	9367	10271
477	9382	10245
478	9411	10237
479	9433	10219
480	9457	10204
481	9482	10190
482	9507	10176
483	9537	10168
484	9562	10154
485	9576	10128
486	9595	10107
487	9614	10086
488	9634	10068
489	9668	10063
490	9693	10048
491	9714	10030
492	9737	10013
493	9750	9987
494	9764	9961
495	9779	9937
496	9799	9917
497	9811	9890
498	9824	9863
499	9839	9839
500	9853	9814
501	9870	9792
502	9883	9765
503	9899	9742
504	9912	9715
505	9933	9698
506	9951	9676
507	9969	9655
508	9983	9630
509	10001	9609
510	10014	9583
511	10028	9558
512	10040	9532
513	10054	9506
514	10068	9481
515	10081	9456
516	10098	9434
517	10126	9423
518	10138	9396
519	10150	9369
520	10163	9344
521	10187	9328
522	10201	9304
523	10219	9283
524	10236	9261
525	10257	9243
526	10290	9235
527	10309	9215
528	10332	9199
529	10361	9188
530	10379	9167
531	10397	9146
532	10412	9122
533	10425	9098
534	10446	9079
535	10463	9058
536	10475	9031
537	10486	9005
538	10499	8979
539	10518	8960
540	10533	8937
541	10547	8912
542	10559	8887
543	10576	8865
544	10604	8853
545	10619	8829
546	10634	8806
547	10652	8786
548	10665	8761
549	10678	8737
550	10693	8714
551	10705	8688
552	10726	8670
553	10743	8649
554	10759	8626
555	10771	8601
556	10785	8577
557	10798	8553
558	10810	8528
559	10824	8504
560	10841	8483
561	10857	8461
562	10874	8440
563	10895	8422
564	10909	8399
565	10930	8381
566	10942	8356
567	10955	8332
568	10976	8314
569	10990	8291
570	11003	8267
571	11016	8242
572	11030	8219
573	11044	8197
574	11065	8178
575	11077	8154
576	11092	8131
577	11113	8114
578	11126	8090
579	11145	8070
580	11168	8054
581	11189	8036
582	11212	8020
583	11242	8008
584	11259	7987
585	11275	7965
586	11290	7943
587	11305	7921
588	11323	7901
589	11336	7877
590	11351	7855
591	11368	7835
592	11389	7816
593	11420	7806
594	11437	7784
595	11451	7762
596	11464	7738
597	11478	7716
598	11497	7697
599	11510	7673
600	11527	7653
601	11545	7632
602	11558	7610
603	11572	7587
604	11595	7570
605	11608	7547
606	11622	7524
607	11635	7501
608	11655	7483
609	11670	7461
610	11686	7440
611	11714	7426
612	11728	7404
613	11740	7381
614	11753	7358
615	11768	7335
616	11781	7313
617	11795	7290
618	11807	7267
619	11820	7244
620	11843	7228
621	11863	7209
622	11877	7187
623	11893	7166
624	11910	7146
625	11924	7124
626	11937	7101
627	11951	7079
628	11965	7057
629	11989	7041
630	12004	7020
631	12023	7001
632	12035	6978
633	12049	6955
634	12063	6933
635	12075	6911
636	12099	6894
637	12110	6871
638	12129	6852
639	12164	6842
640	12185	6824
641	12207	6807
642	12223	6786
643	12241	6766
644	12259	6747
645	12276	6727
646	12289	6704
647	12304	6683
648	12325	6666
649	12339	6644
650	12353	6622
651	12369	6602
652	12385	6581
653	12398	6559
654	12412	6537
655	12426	6516
656	12445	6497
657	12469	6481
658	12486	6461
659	12507	6443
660	12520	6421
661	12535	6400
662	12552	6380
663	12565	6358
664	12579	6336
665	12595	6316
666	12616	6298
667	12637	6280
668	12649	6258
669	12665	6238
670	12677	6216
671	12690	6194
672	12710	6175
673	12725	6155
674	12739	6133
675	12751	6111
676	12766	6090
677	12780	6069
678	12799	6050
679	12822	6033
680	12835	6012
681	12848	5990
682	12862	5969
683	12882	5951
684	12894	5929
685	12908	5908
686	12921	5887
687	12940	5868
688	12962	5850
689	12976	5829
690	12989	5808
691	13003	5787
692	13017	5766
693	13037	5748
694	13051	5727
695	13063	5706
696	13076	5684
697	13092	5664
698	13113	5647
699	13126	5625
700	13148	5608
701	13169	5590
702	13188	5571
703	13206	5552
704	13233	5537
705	13260	5522
706	13281	5504
707	13300	5485
708	13320	5467
709	13331	5445
710	13342	5423
711	13357	5402
712	13378	5385
713	13392	5364
714	13408	5344
715	13431	5327
716	13448	5308
717	13460	5286
718	13475	5266
719	13488	5245
720	13501	5224
721	13515	5204
722	13530	5183
723	13542	5162
724	13562	5144
725	13578	5124
